mode: set
access-api/internal/cache/redis.go:32.45,34.42 2 0
access-api/internal/cache/redis.go:34.42,41.3 1 0
access-api/internal/cache/redis.go:41.8,48.3 1 0
access-api/internal/cache/redis.go:49.2,51.3 1 0
access-api/internal/cache/redis.go:54.54,56.2 1 0
access-api/internal/cache/redis.go:58.81,60.16 2 0
access-api/internal/cache/redis.go:60.16,63.3 2 0
access-api/internal/cache/redis.go:64.2,64.11 1 0
access-api/internal/cache/redis.go:64.11,66.3 1 0
access-api/internal/cache/redis.go:66.8,68.3 1 0
access-api/internal/cache/redis.go:69.2,69.19 1 0
access-api/internal/cache/redis.go:72.99,74.22 2 0
access-api/internal/cache/redis.go:74.22,77.3 2 0
access-api/internal/cache/redis.go:78.2,78.16 1 0
access-api/internal/cache/redis.go:78.16,81.3 2 0
access-api/internal/cache/redis.go:82.2,83.13 2 0
access-api/internal/cache/redis.go:84.32,85.31 1 0
access-api/internal/cache/redis.go:86.33,87.32 1 0
access-api/internal/cache/redis.go:88.10,89.33 1 0
access-api/internal/cache/redis.go:93.103,95.2 1 0
access-api/internal/cache/redis.go:99.86,101.22 2 0
access-api/internal/cache/redis.go:101.22,104.3 2 0
access-api/internal/cache/redis.go:105.2,105.16 1 0
access-api/internal/cache/redis.go:105.16,108.3 2 0
access-api/internal/cache/redis.go:109.2,110.17 2 0
access-api/internal/cache/redis.go:114.88,116.2 1 0
access-api/internal/cache/redis.go:118.88,120.22 2 0
access-api/internal/cache/redis.go:120.22,122.3 1 0
access-api/internal/cache/redis.go:123.2,123.16 1 0
access-api/internal/cache/redis.go:123.16,125.3 1 0
access-api/internal/cache/redis.go:126.2,126.17 1 0
access-api/internal/cache/redis.go:129.86,131.2 1 0
access-api/internal/cache/redis.go:133.42,135.2 1 0
access-api/internal/cache/redis.go:137.40,139.2 1 0
access-api/internal/cache/redis.go:141.37,143.2 1 0
access-api/internal/cache/redis.go:145.42,147.2 1 0
access-api/cmd/server/main.go:23.13,32.45 6 0
access-api/cmd/server/main.go:32.45,35.3 2 0
access-api/cmd/server/main.go:37.2,38.16 2 0
access-api/cmd/server/main.go:38.16,41.3 2 0
access-api/cmd/server/main.go:42.2,46.61 4 0
access-api/cmd/server/main.go:46.61,48.3 1 0
access-api/cmd/server/main.go:48.8,48.18 1 0
access-api/cmd/server/main.go:48.18,50.3 1 0
access-api/cmd/server/main.go:51.2,56.30 3 0
access-api/cmd/server/main.go:56.30,58.17 2 0
access-api/cmd/server/main.go:58.17,60.4 1 0
access-api/cmd/server/main.go:60.9,64.4 3 0
access-api/cmd/server/main.go:67.2,74.26 6 0
access-api/cmd/server/main.go:74.26,76.3 1 0
access-api/cmd/server/main.go:78.2,78.40 1 0
access-api/cmd/server/main.go:78.40,79.62 1 0
access-api/cmd/server/main.go:79.62,82.4 2 0
access-api/cmd/server/main.go:83.3,83.47 1 0
access-api/cmd/server/main.go:85.2,88.2 3 0
access-api/cmd/server/main.go:88.2,92.3 3 0
access-api/cmd/server/main.go:94.2,96.12 2 0
access-api/cmd/server/main.go:96.12,98.77 2 0
